t_mac,event_idx,image_id,true_class,true_class_id,patch_contrast,duration_ms,is_target
1789874046.418,0,NONE,NONE,-1,0.150,200,0
1789874049.595,1,banana_47701.jpg,banana,955,0.800,4000,1
1789874060.810,2,NONE,NONE,-1,0.150,200,0
1789874061.028,3,lemon_47551.jpg,lemon,952,0.800,4000,0
1789874066.688,4,NONE,NONE,-1,0.150,200,0
1789874067.164,5,butternut_squash_47101.jpg,butternut squash,943,0.800,4000,0
1789874078.768,6,NONE,NONE,-1,0.150,200,0
1789874082.964,7,coffee_mug_25200.jpg,coffee mug,505,0.800,4000,0
1789874103.062,8,NONE,NONE,-1,0.150,200,0
1789874103.976,9,banana_47746.jpg,banana,955,0.800,4000,1
